market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
LAY Over 4.5,lay_over45,60-80,goals_ge2,sot_home,41,90.2,53.8,220.6,77.5,96.1,6.36,2.29,64.0,25,0.12,MLS,40.8,81.8,28,13,lay_over45_v3
LAY Over 4.5,lay_over45,60-80,home+2,xg_low,40,85.0,51.8,207.2,70.9,92.9,7.85,2.27,95.7,26,0.1,Bundesliga,44.9,67.9,28,12,lay_over45_v3
LAY CS 1-1,lay_rc_1_1,65-85,home+1,xg_low,41,90.2,50.2,206.0,77.5,96.1,5.19,2.27,54.0,18,0.2,Desconocida,44.3,63.1,28,13,
LAY Draw,lay_draw,65-85,away+1,none,121,82.6,29.9,362.1,74.9,88.4,3.61,2.25,101.5,41,0.07,Bundesliga,32.5,24.1,84,37,
BACK Over 2.5,back_over25,50-70,tied_1-1,none,157,72.0,17.0,266.9,64.5,78.4,1.67,2.25,39.07,42,0.1,Desconocida,16.7,17.7,109,48,
BACK Over 2.5,back_over25,40-60,lead2,none,127,76.4,15.4,195.0,68.3,82.9,1.53,2.23,85.25,46,0.09,Desconocida,18.0,9.5,88,39,
BACK Over 3.5,back_over35,40-60,goals_ge3,xg_low,75,64.0,32.2,241.74,52.7,73.9,2.05,2.23,60.0,36,0.12,Championship,28.0,41.8,52,23,
BACK Over 2.5,back_over25,50-70,tied_1-1,xg_low,137,73.0,17.4,238.86,65.0,79.7,1.66,2.21,40.0,41,0.11,Desconocida,18.9,14.2,95,42,
BACK Under 3.5,back_under35,55-75,home+1,xg_low,138,71.7,20.9,288.51,63.7,78.6,1.91,2.21,67.97,44,0.07,League One,24.5,12.6,96,42,under35_late
LAY CS 1-1,lay_rc_1_1,40-60,away+1,none,47,91.5,49.3,231.5,80.1,96.6,5.53,2.19,113.5,25,0.23,Desconocida,41.7,65.3,32,15,
LAY Draw,lay_draw,50-70,lead1,none,320,78.1,18.2,583.4,73.3,82.3,3.68,2.18,148.9,51,0.07,Desconocida,23.4,6.2,224,96,
LAY Over 4.5,lay_over45,65-85,any,sot_home,39,89.7,52.6,205.0,76.4,95.9,6.85,2.16,64.0,21,0.13,MLS,39.9,81.0,27,12,lay_over45_v3
BACK Home,back_home,40-60,home+1,sot_home,50,80.0,25.3,126.28,67.0,88.8,1.68,2.13,29.29,25,0.14,Liga Argentina,34.4,3.8,35,15,
LAY Over 4.5,lay_over45,55-75,any,xg_low,176,86.4,31.0,546.1,80.5,90.7,6.98,2.12,133.5,48,0.08,Bundesliga,34.1,23.8,123,53,lay_over45_v3
BACK Under 3.5,back_under35,70-90,any,sot_home,58,77.6,21.8,126.2,65.3,86.4,1.62,2.11,37.34,27,0.14,Desconocida,21.8,21.7,40,18,
BACK Under 4.5,back_under45,45-65,any,sot_home,42,88.1,16.6,69.78,75.0,94.8,1.37,2.07,41.45,25,0.1,Desconocida,9.7,32.1,29,13,
LAY CS 1-1,lay_rc_1_1,70-90,lead1,xg_low,51,90.2,45.5,232.0,79.0,95.7,5.38,2.06,68.0,21,0.22,Desconocida,61.3,10.9,35,16,
