id,timestamp_utc,match_id,match_name,match_url,strategy,strategy_name,minute,score,recommendation,back_odds,min_odds,expected_value,confidence,win_rate_historical,roi_historical,sample_size,bet_type,stake,notes,status,result,pl,telegram_sent
49,2026-03-18 21:16:10,southampton-norwich-apuestas-35367829,Southampton - Norwich,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/inglaterra-sky-bet-championship/southampton-norwich-apuestas-35367829,cs_one_goal,BACK CS One-Goal,70,1-0,BACK CS 1-0 @ 2.38,2.38,1.8,0.259,medium,54.5,44.0,200,paper,1.0,auto,won,won,1.31,1
50,2026-03-18 21:21:47,tottenham-atl%C3%A9tico-de-madrid-apuestas-35359746,Tottenham - Atlético de Madrid,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/uefa-champions-league/tottenham-atl%C3%A9tico-de-madrid-apuestas-35359746,under35_late,BACK U3.5 Late,60,2-1,BACK UNDER 3.5 @ 3.05,3.05,1.5,0.81,medium,61.4,46.8,88,paper,1.0,auto,won,won,2.05,1
51,2026-03-18 21:22:48,tottenham-atl%C3%A9tico-de-madrid-apuestas-35359746,Tottenham - Atlético de Madrid,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/uefa-champions-league/tottenham-atl%C3%A9tico-de-madrid-apuestas-35359746,cs_close,BACK CS Close,62,2-1,BACK CS 2-1 @ 3.25,3.25,1.3,0.653,medium,52.7,96.6,131,paper,1.0,auto,lost,lost,-1.0,1
52,2026-03-18 21:22:48,tottenham-atl%C3%A9tico-de-madrid-apuestas-35359746,Tottenham - Atlético de Madrid,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/uefa-champions-league/tottenham-atl%C3%A9tico-de-madrid-apuestas-35359746,home_fav_leading,BACK Home Fav Leading,62,2-1,BACK HOME @ 1.39,1.39,1.3,0.091,medium,79.6,57.9,157,paper,1.0,auto,won,won,0.37,1
53,2026-03-18 21:31:58,mk-dons-colchester-apuestas-35371230,MK Dons - Colchester,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/inglaterra-sky-bet-league-2/mk-dons-colchester-apuestas-35371230,cs_one_goal,BACK CS One-Goal,72,1-0,BACK CS 1-0 @ 2.18,2.18,1.8,0.156,medium,54.5,44.0,200,paper,1.0,auto,won,won,1.12,1
54,2026-03-18 22:52:04,estudiantes-de-merida-carabobo-apuestas-35377534,Estudiantes de Merida - Carabobo,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/venezuela-primera-divisi%C3%B3n/estudiantes-de-merida-carabobo-apuestas-35377534,under35_late,BACK U3.5 Late,60,2-1,BACK UNDER 3.5 @ 2.96,2.96,1.5,0.757,medium,61.4,46.8,88,paper,1.0,auto,won,won,1.96,1
55,2026-03-18 22:53:06,estudiantes-de-merida-carabobo-apuestas-35377534,Estudiantes de Merida - Carabobo,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/venezuela-primera-divisi%C3%B3n/estudiantes-de-merida-carabobo-apuestas-35377534,cs_close,BACK CS Close,62,2-1,BACK CS 2-1 @ 3.10,3.1,1.3,0.578,medium,52.7,96.6,131,paper,1.0,auto,lost,lost,-1.0,1
56,2026-03-18 23:00:12,estudiantes-de-merida-carabobo-apuestas-35377534,Estudiantes de Merida - Carabobo,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/venezuela-primera-divisi%C3%B3n/estudiantes-de-merida-carabobo-apuestas-35377534,draw_xg_conv,BACK Draw xG Convergence,70,2-2,BACK DRAW @ 3.50,3.5,1.3,0.833,medium,54.3,25.6,232,paper,1.0,auto,lost,lost,-1.0,1
57,2026-03-18 23:06:49,manta-fc-guayaquil-city-apuestas-35378018,Manta FC - Guayaquil City,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-a-ecuatoriana/manta-fc-guayaquil-city-apuestas-35378018,cs_one_goal,BACK CS One-Goal,68,0-1,BACK CS 0-1 @ 2.32,2.32,1.8,0.228,medium,54.5,44.0,200,paper,1.0,auto,won,won,1.25,1
58,2026-03-18 23:24:36,se-palmeiras-botafogo-fr-apuestas-35368430,SE Palmeiras - Botafogo FR,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-a-brasil/se-palmeiras-botafogo-fr-apuestas-35368430,under35_late,BACK U3.5 Late,61,2-1,BACK UNDER 3.5 @ 3.35,3.35,1.5,0.985,medium,61.4,46.8,88,paper,1.0,auto,won,won,2.35,1
